,City,Direct_flights_count
1048,Calvi,20
1049,Carcassonne,10
1050,Castres,3
1051,Chalons,2
1052,Clermont-Ferrand,9
1053,Deauville,2
1054,Dijon,1
1055,Dinard,3
1056,Dole,3
1057,Figari,14
1058,Gustavia,11
1059,Hyeres,3
1060,La Rochelle,10
1061,Lannion,1
1062,Le Havre,1
1063,Le Puy,1
1064,Lille,40
1065,Limoges,11
1066,Lorient,2
1067,Lyon,135
1068,Marseille,136
1069,Metz,5
1070,Montpellier,24
1071,Mulhouse,95
1072,Nantes,92
1073,Nice,135
1074,Nimes,4
1075,Paris,725
1076,Pau,5
1077,Perigueux,2
1078,Perpignan,5
1079,Poitiers,7
1080,Quimper,1
1081,Rennes,13
1082,Rodez,4
1083,St-Etienne,5
1084,Strasbourg,34
1085,Tarbes,5
1086,Toulouse,78
1087,Tours,5
1088,Cayenne,7
1089,Ahe,2
1090,Arutua,1
1091,Bora Bora,7
1092,Fakarava,2
1093,Hao Island,2
1094,Hiva-oa,4
1095,Huahine Island,4
1096,Kauehi,1
1097,Kaukura Atoll,1
1098,Makemo,1
1099,Manihi,3
1100,Mataiva,2
1101,Maupiti,3
1102,Moorea,4
1103,Nuku Hiva,4
1104,Papeete,38
1105,Raiatea Island,4
1106,Raivavae,2
1107,Rangiroa,5
1108,Rimatara,2
1109,Rurutu,2
1110,Takapoto,1
1111,Takaroa,3
1112,Tikehau,2
1113,Totegegie,1
1114,Tubuai,3
1115,Ua Huka,3
1116,Ua Pou,3
1117,Libreville,24
1118,Port Gentil,1
1119,Banjul,13
1120,Batumi,6
1121,Kutaisi,8
1122,Tbilisi,34
1123,Augsburg,1
1124,Berlin,291
1125,Bremen,50
1126,Cologne,134
1127,Dortmund,33
1128,Dresden,22
1129,Duesseldorf,285
1130,Erfurt,6
1131,Frankfurt,497
1132,Friedrichshafen,13
1133,Hahn,47
1134,Hamburg,162
1135,Hannover,76
1136,Heringsdorf,5
1137,Karlsruhe/Baden-Baden,20
1138,Kassel,2
1139,Laage,5
1140,Leipzig,40
1141,Luebeck,4
1142,Mannheim,1
1143,Memmingen,23
1144,Munich,368
1145,Munster,11
1146,Nuernberg,48
1147,Paderborn,11
1148,Saarbruecken,9
1149,Stuttgart,137
1150,Weeze,38
1151,Westerland,8
1152,Zweibruecken,5
1153,Accra,54
1154,Kumasi,4
1155,Sunyani,1
1156,Takoradi,2
1157,Tamale,3
1158,Gibraltar,6
1159,Alexandroupolis,3
1160,Astypalaia,4
1161,Athens,197
1162,Chania,44
1163,Chios,6
1164,Cyclades Islands,2
1165,Heraklion,110
1166,Ikaria,3
1167,Ioannina,2
1168,Kalamata,10
1169,Kalymnos,6
1170,Karpathos,6
1171,Kasos,4
1172,Kastelorizo,2
1173,Kastoria,1
1174,Kavala,6
1175,Keffallinia,6
1176,Kerkyra/corfu,50
1177,Kithira,4
1178,Kos,43
1179,Leros,6
1180,Limnos,5
1181,Milos,2
1182,Mykonos,13
1183,Mytilini,10
1184,Nea Anghialos,5
1185,Paros,2
1186,Patras,3
1187,Preveza,11
1188,Rhodos,82
1189,Samos,9
1190,Sitia,5
1191,Skiathos,2
1192,Skiros,3
1193,Syros Island,2
1194,Thessaloniki,87
1195,Thira,15
1196,Zakynthos,16
1197,Aasiaat,3
1198,Alluitsup Paa,2
1199,Eqalugaarsuit,1
1200,Godthaab,9
1201,Ilulissat,5
1202,Ittoqqortoormiit,1
1203,Maniitsoq,2
1204,Nanortalik,4
1205,Narsaq,3
1206,Narssarssuaq,5
1207,Neerlerit Inaat,2
1208,Paamiut,2
1209,Qaanaaq,3
1210,Qaqortoq,7
1211,Sisimiut,3
1212,Sondrestrom,8
1213,Thule,2
1214,Upernavik,9
1215,Uummannaq,9
1216,Point Salines,14
1217,Pointe-a-pitre,29
1218,St. Martin,4
1219,Agana,35
1220,Flores,3
1221,Guatemala City,37
1222,Alderney,2
1223,Guernsey,18
1224,Conakry,18
1225,Bissau,7
1226,Georgetown,9
1227,Cap Haitien,3
1228,Port-au-prince,24
1229,Guanaja,1
1230,La Ceiba,8
1231,Puerto Lempira,2
1232,Roatan,15
1233,San Pedro Sula,23
1234,Tegucigalpa,18
1235,Hong Kong,355
1236,Budapest,98
1237,Debrecen,2
1238,Akureyri,1
1239,Egilsstadir,1
1240,Isafjordur,1
1241,Keflavik,45
1242,Reykjavik,5
1243,Agartala,8
1244,Agatti Island,1
1245,Agra,2
1246,Ahmedabad,35
1247,Aizwal,6
1248,Allahabad,2
1249,Amritsar,9
1250,Aurangabad,5
1251,Baghdogra,16
1252,Bangalore,97
1253,Baroda,5
1254,Belgaum,1
1255,Bhaunagar,2
1256,Bhopal,6
1257,Bhubaneswar,9
1258,Bhuj,2
1259,Calicut,31
1260,Chandigarh,9
1261,Coimbatore,17
1262,Dehra Dun,5
1263,Delhi,264
1264,Dimapur,2
1265,Diu,2
1266,Goa,29
1267,Gorakhpur,2
1268,Guwahati,31
1269,Gwalior,1
1270,Hubli,2
1271,Hyderabad,74
1272,Imphal,9
1273,Indore,16
1274,Jabalpur,3
1275,Jaipur,17
1276,Jammu,12
1277,Jamnagar,1
1278,Jodhpur,6
1279,Kangra,2
1280,Kanpur,1
1281,Khajuraho,1
1282,Kochi,59
1283,Kolkata,97
1284,Kulu,1
1285,Leh,6
1286,Lucknow,18
1287,Ludhiaha,1
1288,Madras,107
1289,Madurai,8
1290,Mangalore,15
1291,Mohanbari,6
1292,Mumbai,227
1293,Mysore,1
1294,Nagpur,15
1295,Patina,12
1296,Porbandar,2
1297,Port Blair,11
1298,Pune,33
1299,Raipur,12
1300,Rajahmundry,3
1301,Rajkot,3
1302,Ranchi,11
1303,Shillong,1
1304,Silchar,7
1305,Srinagar,14
1306,Surat,3
1307,Tiruchirappalli,9
1308,Tirupeti,2
1309,Trivandrum,42
1310,Udaipur,7
